case,doctrine,explanation
Draper,Subcase of probable cause doctrine,"Probable cause can be based on a reliable informant’s detailed and corroborated tip. Police relied on a tip predicting the suspect’s arrival, appearance, and behavior, which they corroborated before arresting him. Because the accurate predictions demonstrated reliability, the Court held there was probable cause to arrest."
Pringle,Subcase of probable cause doctrine,"Probable cause may be based on reasonable inferences of a common enterprise. Police found drugs in a car accessible to all occupants and arrested everyone. Because the location suggested shared access and control, the Court held it was reasonable to infer a joint enterprise, establishing probable cause to arrest the passenger."
Ybarra,Subcase of probable cause doctrine,"Probable cause must be particularized to the person searched. Police had a warrant for a bar and bartender but also searched a customer and found drugs. Because there were no individualized facts linking the customer to criminal activity, the Court held the search was unconstitutional."
Johnson,"Baseline of warrant doctrine, subcase of exigent circumstances doctrine","Warrantless entry into a home requires exigent circumstances beyond probable cause. Police smelled opium from a hotel room and entered without a warrant. Because there was time to obtain a warrant and no true emergency, the Court held probable cause alone was insufficient and the entry was unconstitutional."
Chimel,Baseline of SILA doctrine,"Search incident to arrest is limited to the arrestee’s person and the area within immediate control. Police arrested the defendant in his home and searched the entire house without a warrant. Because the justifications are officer safety and evidence preservation, the Court held the broader search exceeded those limits and was unlawful."
Moore,Subcase of SILA doctrine,"Search incident to arrest is valid if the arrest is supported by probable cause, regardless of state law violations. Police made an arrest that violated state law but had probable cause and then conducted a search. Because the Fourth Amendment focuses on federal reasonableness, not state rules, the Court held the search incident to arrest was valid."
Riley v. California,Subcase of SILA doctrine,"Search incident to arrest does not justify warrantless searches of digital cell phone contents. Police searched a cell phone after arrest without a warrant. Because phones contain vast amounts of personal data and do not implicate immediate safety or evidence concerns, the Court held a warrant is generally required."
Gant,Subcase of SILA doctrine,"Search incident to arrest of a vehicle is valid only if the arrestee can access the vehicle or it is reasonable to believe evidence of the offense is inside. Police arrested a suspect, secured him away from the car, and then searched it. Because neither justification applied, the Court held the search was invalid unless tied to evidence of the offense."
Coolidge,Baseline of plain view doctrine,"Plain view requires lawful presence and immediately apparent incriminating nature (and traditionally inadvertence). Police seized evidence from a car in a driveway without a valid warrant, claiming plain view. Because officers were not lawfully present and the discovery was not truly inadvertent, the Court held the doctrine did not apply."
Horton,Subcase of plain view doctrine,"Plain view does not require inadvertent discovery so long as officers are lawfully present and the incriminating nature is immediately apparent. Police executed a valid warrant and found evidence in plain view not listed in the warrant. Because they were lawfully present and the item’s incriminating nature was clear, the Court held it could be seized."
Texas v. Brown,Subcase of plain view doctrine,"Plain view allows seizure if officers are lawfully present and the incriminating nature is immediately apparent. During a lawful traffic stop, an officer saw a tied-off balloon commonly used for narcotics and seized it. Because the officer had probable cause to believe it was incriminating and was lawfully present, the Court held the seizure was valid."
Hicks,Subcase of plain view doctrine,"Plain view requires that the incriminating nature be immediately apparent and does not allow additional search. Police lawfully entered an apartment, saw stereo equipment, and moved it to read serial numbers. Because moving the equipment was an additional search and its incriminating nature was not immediately apparent, the Court held the search violated the Fourth Amendment."
Dickerson,Subcase of plain view doctrine / Subcase of stop and frisk doctrine,"Plain feel allows seizure during a frisk only if the incriminating nature is immediately apparent. During a pat-down, an officer felt an object and manipulated it to determine it was drugs. Because the incriminating nature was not immediately apparent and the officer exceeded the scope of a frisk, the Court held the seizure was unconstitutional."
Carroll,Baseline of automobile exception,"Police may search a vehicle without a warrant if they have probable cause due to its mobility. Police stopped a vehicle suspected of transporting illegal liquor and searched it without a warrant. Because the vehicle could quickly leave the jurisdiction, the Court held probable cause alone justified the search."
Ross,Subcase of automobile exception,"Automobile exception allows a full search of a vehicle, including containers, if probable cause exists. Police had probable cause to believe a car contained contraband and searched containers inside it. Because probable cause extended to the entire vehicle, the Court held the search was lawful."
Acevedo,Subcase of automobile exception,"Police may search containers within a vehicle without a warrant if they have probable cause to believe the container holds contraband. Police had probable cause to believe a specific container in a car contained contraband and searched it. Because the automobile exception extends to containers within the vehicle, the Court held the search was lawful."
Schneckloth,Baseline of consent doctrine / subcase of voluntariness doctrine,"Consent is valid if voluntary under the totality of the circumstances, even without knowledge of the right to refuse. Police asked for permission to search a car and received consent from a passenger without informing him he could refuse. Because voluntariness does not require knowledge of the right to refuse, the Court held the consent was valid."
Matlock,Subcase of consent doctrine,"Consent is valid if given by a person with common authority over the premises. Police obtained consent from a third party who shared joint access and control over the area searched. Because that person had common authority, the Court held the consent was valid against the defendant."
Rodriguez,Subcase of consent doctrine,"Consent is valid if police reasonably believe the person has authority (apparent authority). Police relied on consent from someone who appeared to have authority but did not actually have it. Because the officers’ belief was reasonable, the Court held the search was valid."
Randolph,Subcase of consent doctrine,"A physically present co-occupant’s refusal overrides another occupant’s consent. Police sought to search a home where one occupant consented but another present occupant refused. Because the refusal was made by a physically present co-occupant, the Court held the search was invalid as to that occupant."
Fernandez,Subcase of consent doctrine,"A co-occupant’s consent is valid if the objecting occupant is no longer physically present. Police obtained consent from a co-occupant after removing the defendant who had previously refused consent. Because the objector was not physically present, the Court held the remaining occupant’s consent was valid."
Hayden,Subcase of exigent circumstances doctrine,"Warrantless entry is justified during hot pursuit of a fleeing suspect posing immediate danger. Police pursued an armed robbery suspect into a home and entered without a warrant to search for him and weapons. Because there was an immediate need to apprehend the suspect and secure safety, the Court held the entry was justified under exigent circumstances."
King,Subcase of exigent circumstances doctrine,"Warrantless entry is valid when exigency is not created by unconstitutional police conduct. Police smelled marijuana, knocked and announced, then heard sounds suggesting destruction of evidence before entering. Because the exigency was not created by unlawful police behavior, the Court held the entry was valid."
Stuart,Subcase of exigent circumstances doctrine,"Police may enter without a warrant when there is an objectively reasonable basis to believe someone is in immediate danger. Police entered a home after observing an ongoing fight and potential injury inside. Because there was an immediate threat to safety, the Court held the entry was justified under exigent circumstances."
Johnson,Subcase of exigent circumstances doctrine /  Baseline of warrant doctrine,"Warrantless entry requires exigent circumstances beyond mere probable cause. Police smelled opium from a hotel room but entered without a warrant. Because there was time to obtain a warrant and no emergency, the Court held exigent circumstances did not apply and the entry was unconstitutional."
Skinner,Subcase of special needs doctrine / Subcase of state action doctrine,"Government-compelled, suspicionless drug testing is permissible when a regulatory scheme serves a concrete safety interest and leaves little room for individualized suspicion. Railroad employees were tested under federal regulations aimed at preventing train accidents. Because the government structured and effectively compelled the testing in a high-risk industry where individualized suspicion would be impractical, the Court held the testing was reasonable."
T.L.O.,Subcase of special needs doctrine / Subcase of state action doctrine,"Searches by government officials in non-law-enforcement settings are governed by a reasonableness standard, not probable cause or warrants. A school official searched a student’s purse based on suspicion of rule violations. Because schools require swift disciplinary authority and students have reduced expectations of privacy, the Court held the search needed only to be reasonable in inception and scope."
Sitz,Subcase of special needs doctrine,"Brief, suspicionless seizures may be upheld under a balancing test when the program advances roadway safety and imposes minimal intrusion. Police conducted DUI checkpoints stopping drivers without individualized suspicion. Because the state’s interest in preventing drunk driving outweighed the slight intrusion on motorists, the Court held the checkpoints were reasonable."
Edmond,Subcase of special needs doctrine,"Suspicionless checkpoint programs are unconstitutional when their primary programmatic purpose is general crime control. Police set up checkpoints to detect illegal drugs using drug-sniffing dogs. Because the purpose was ordinary law enforcement rather than a distinct safety or regulatory need, the Court held the checkpoints violated the Fourth Amendment."
Terry,Baseline of stop and frisk doctrine,"Police may conduct a brief stop and frisk with reasonable suspicion that crime is afoot and the suspect is armed. An officer observed suspicious behavior suggesting a planned robbery and conducted a limited pat-down for weapons. Because the officer had reasonable suspicion and the search was limited to safety concerns, the Court held the stop and frisk was permissible."
Williams,Subcase of stop and frisk doctrine,"Police may conduct a stop and frisk with reasonable suspicion that crime is afoot and the suspect is armed. An officer relied on a tip and observed suspicious behavior, then frisked the suspect and found a weapon. Because there was reasonable suspicion, the Court held the stop and frisk was justified under Terry."
Dickerson,Subcase of stop and frisk doctrine / Subcase of plain view doctrine,"Plain feel allows seizure only if the incriminating nature is immediately apparent during a lawful frisk. During a Terry frisk, an officer felt an object, manipulated it further, and determined it was drugs before removing it. Because the officer exceeded a weapons search and the incriminating nature was not immediately apparent, the Court held the seizure was unconstitutional."
Brown v. Mississippi,Baseline of voluntariness doctrine,"A confession is involuntary if obtained through coercion that overbears the suspect’s will. Police physically beat suspects to obtain confessions. Because the confessions were the product of extreme coercion, the Court held they were involuntary and inadmissible under due process."
Ashcraft,Subcase of voluntariness doctrine,"A confession is involuntary if police coercion overbears the suspect’s will. Police interrogated the suspect continuously for about 36 hours without meaningful breaks. Because the extreme length and pressure of the interrogation overbore his will, the Court held the confession was involuntary and inadmissible."
Schneckloth,Baseline of consent doctrine / Subcase of voluntariness doctrine,"Consent is valid if voluntary under the totality of the circumstances, even without knowledge of the right to refuse. Police obtained consent to search without informing the suspect he could refuse. Because voluntariness does not require such knowledge, the Court held the consent was valid."
Connelly,Subcase of voluntariness doctrine,"Due process voluntariness requires coercive police activity. The suspect confessed due to severe mental illness, believing voices compelled him, without any police coercion. Because there was no government coercion, the Court held the confession was admissible."
Miranda,Baseline of Miranda doctrine,"Custodial interrogation requires warnings and a valid waiver before statements are admissible. The suspect was interrogated in custody without being informed of his rights and confessed. Because custodial interrogation is inherently coercive, the Court held the statements were inadmissible without proper warnings and waiver."
Berkemer,Subcase of Miranda doctrine,"Ordinary traffic stops are not custody for Miranda purposes. A driver was stopped for a traffic violation and questioned roadside without warnings. Because the stop was brief, public, and not police-dominated like a formal arrest, the Court held it was not custody, so Miranda warnings were not required."
Howes,Subcase of Miranda doctrine,"Custody depends on whether the situation creates coercive pressures equivalent to formal arrest. A prisoner was taken from his cell, questioned, told he could leave, and not subjected to unusual restraints. Because the setting did not create additional coercive pressure beyond normal incarceration, the Court held it was not custody for Miranda purposes."
Innis,Subcase of Miranda doctrine,"Interrogation includes words or actions police should know are likely to elicit an incriminating response. After arrest, officers spoke to each other in the suspect’s presence about the danger of a missing weapon near children, and the suspect revealed its location. Because the officers should have known their conversation would prompt a response, the Court held this was interrogation even without direct questioning."
Muniz,Subcase of Miranda doctrine,"Routine booking questions are not interrogation under Miranda. During DUI processing, police asked administrative questions that also revealed impairment. Because those questions were not designed to elicit incriminating responses, the Court held Miranda warnings were not required."
Perkins,Subcase of Miranda doctrine,"Miranda applies only in a coercive, police-dominated custodial setting. An undercover officer posed as an inmate and elicited incriminating statements. Because the suspect did not know he was speaking to police and faced no coercive atmosphere, the Court held Miranda warnings were not required."
Edwards,Subcase of Miranda doctrine,"Once a suspect invokes the right to counsel, police may not reinitiate interrogation unless the suspect initiates. After requesting a lawyer, the suspect was later re-approached by police and interrogated without counsel. Because the police—not the suspect—reinitiated questioning, the Court held the interrogation was invalid."
Mosley,Subcase of Miranda doctrine,"Police may reinitiate questioning after invocation of silence if they scrupulously honor that right. The suspect invoked his right to remain silent, police stopped questioning, then later re-approached him with fresh warnings about a different crime. Because the police respected his initial invocation, the Court held the later statements were admissible."
Butler,Subcase of Miranda doctrine,"A Miranda waiver may be implied from the suspect’s conduct under the totality of the circumstances. The suspect refused to sign a written waiver but answered questions and made incriminating statements. Because his conduct showed a willingness to speak, the Court held the waiver was valid."
Quarles,Subcase of Miranda doctrine,"Police may ask unwarned questions when necessary to address an immediate threat to public safety. Police arrested a suspect with an empty holster and asked where the gun was before giving warnings. Because there was an immediate danger to the public, the Court held the questioning was permissible without Miranda warnings."
Harris,Subcase of Miranda doctrine,"Unwarned but voluntary statements are inadmissible in the case-in-chief but admissible for impeachment. The defendant made statements without proper Miranda warnings and later testified inconsistently at trial. Because the statements were voluntary, the Court held they could be used to impeach his credibility."
Patane,Subcase of Miranda doctrine,"Physical evidence derived from voluntary but unwarned statements is admissible. Police failed to fully give Miranda warnings, and the suspect revealed the location of a gun. Because Miranda protects against compelled testimonial evidence only, the Court held the gun was admissible."
Wade,Baseline of right to counsel at post-indictment lineup doctrine,"The Sixth Amendment right to counsel applies at post-indictment lineups as a critical stage. Police conducted a lineup after formal charges without the defendant’s lawyer present. Because the lineup was a critical stage, the Court held the defendant had a right to counsel."
Kirby,Subcase of right to counsel at post-indictment lineup doctrine,"The Sixth Amendment right to counsel attaches only after formal adversarial proceedings begin. Police conducted a lineup before charges were filed without providing counsel. Because proceedings had not yet begun, the Court held there was no right to counsel."
Weeks,Baseline of exclusionary rule doctrine,"Evidence obtained in violation of the Fourth Amendment must be excluded from the prosecution’s case-in-chief in federal court. Federal officers conducted a warrantless search of a home and seized evidence used at trial. Because the Fourth Amendment was violated, the Court created the exclusionary rule and held the evidence must be excluded—but only in federal prosecutions."
Mapp,Baseline of exclusionary rule doctrine,"The exclusionary rule applies to the states through the Fourteenth Amendment, requiring state courts to exclude evidence obtained in violation of the Fourth Amendment. State police forcibly entered a home without a valid warrant and seized evidence used at trial. Because the search was unconstitutional, the Court held the evidence must be excluded in state prosecutions."
Silverthorne,Subcase of exclusionary rule doctrine,"The exclusionary rule bars not only illegally obtained evidence but also derivative evidence (“fruits of the poisonous tree”). Federal agents illegally seized documents and then used the information gained to obtain the same evidence through other means. Because allowing this would let the government benefit from its illegal conduct, the Court held that both the primary evidence and its derivative fruits must be excluded."
Nardone,Subcase of exclusionary rule doctrine,"Although the exclusionary rule extends to derivative evidence, it does not apply if the connection between the illegality and the evidence becomes sufficiently attenuated. Federal agents used illegal wiretapping to obtain evidence and trace additional evidence. Because the connection remained direct in this case, the Court excluded the evidence, but recognized that derivative evidence may be admissible if the causal link is weakened."
Oliver,Baseline of Open Fields doctrine,"Open fields are not protected by the Fourth Amendment because individuals do not have a reasonable expectation of privacy in land outside the home and its curtilage, even if steps are taken to exclude the public. Police entered privately owned rural land marked with “No Trespassing” signs and discovered a marijuana field without a warrant. Because the area was an open field rather than part of the home’s protected area, the Court held the entry and observation were not a “search.”"
Dunn,Subcase of open fields doctrine,"The Fourth Amendment protects the curtilage of the home, and whether an area is curtilage is determined by factors including proximity to the home, enclosure, nature of use, and steps taken to protect privacy. Police crossed perimeter fencing and looked into a barn located some distance from the house without a warrant. Because the barn was outside the curtilage under these factors, the Court held it was an open field and the observation was not a “search.”"
Smith,Subcase of third party doctrine,"A person has no reasonable expectation of privacy in information voluntarily conveyed to third parties. Police installed a pen register to record numbers dialed from the defendant’s phone without a warrant. Because the defendant knowingly conveyed the numbers to the phone company, the Court held there was no reasonable expectation of privacy and thus no “search.”"
Hoffa,Conceptual forerunner of third party doctrine,"A person has no reasonable expectation of privacy in information voluntarily disclosed to another person, even if that person is a government informant. The defendant made incriminating statements to a confidant who was secretly cooperating with the government. Because the defendant voluntarily shared the information and assumed the risk it would be revealed, the Court held there was no reasonable expectation of privacy and no Fourth Amendment violation."
Miller,Baseline of third party doctrine,"Information voluntarily disclosed to third parties is not protected by the Fourth Amendment. The government obtained the defendant’s bank records from his bank without a warrant. Because the records were business records of the bank and voluntarily shared, the Court held there was no reasonable expectation of privacy and no “search.”"
Smith,Subcase of third party doctrine,"A person has no reasonable expectation of privacy in information voluntarily conveyed to third parties. Police installed a pen register to record numbers dialed from the defendant’s phone without a warrant. Because the defendant knowingly conveyed the numbers to the phone company, the Court held there was no reasonable expectation of privacy and thus no “search.”"
Carpenter,Subcase of third party doctrine,"Individuals have a reasonable expectation of privacy in long-term cell-site location information despite it being held by a third party. Police obtained historical CSLI from the defendant’s phone company without a warrant. Because the data provided an extensive record of the defendant’s movements, the Court held that accessing it was a “search,” requiring a warrant, limiting the third-party doctrine."
